scorer,,,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling
bodyparts,,,left_tuft,left_tuft,left_eye,left_eye,forehead,forehead,nose,nose,right_eye,right_eye,right_tuft,right_tuft
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
L_1,L_1,img000.jpg,,,,,339.1819729,756.5680472,350.1750566,785.2456567,326.7550088,773.2966527,287.5622758,760.3917284
L_1,L_1,img024.jpg,342.0497339,736.9716807,339.1819729,762.7815292,331.0566502,754.1782464,338.7040128,782.3778957,316.2398853,769.4729715,280.3928735,754.6562065
L_1,L_1,img048.jpg,,,,,335.3703561,724.7301012,346.1315032,753.4954751,323.7814285,741.6996024,284.4618527,732.3870713
L_1,L_1,img072.jpg,336.4481174,710.1749147,333.028503,727.6149477,322.7696601,717.3561048,332.3445802,745.0549807,310.80101,732.7443692,276.2629054,721.1176805
L_1,L_1,img096.jpg,,,330.634773,715.3043362,320.0339686,702.3098018,332.3445802,728.9827934,308.7492414,719.4078733,272.8432911,713.9364904
L_1,L_1,img120.jpg,332.6865416,714.6204133,301.5680513,712.9106062,290.6252855,693.760766,280.3664426,714.9623747,274.2111368,706.0713775,264.9781782,694.4446889
L_1,L_1,img144.jpg,332.0026187,707.7811847,299.5162828,698.8901875,286.5217484,682.8180002,275.5789826,700.5999946,274.2111368,693.4188046,,
L_1,L_1,img168.jpg,326.1892744,708.4651075,297.8064756,712.9106062,283.4440955,698.2062646,280.0244812,723.853372,271.1334839,711.8847219,257.4550267,700.2580332
L_1,L_1,img192.jpg,313.5367014,709.4909918,284.4699798,720.0917962,268.7397539,706.0713775,266.0040625,733.7702535,257.1130653,720.4337576,244.8024537,706.7553004
L_1,L_1,img216.jpg,240.6989165,732.0604463,224.6267293,761.4691294,209.5804263,748.8165565,219.8392692,778.9091624,,,,
L_1,L_1,img240.jpg,,,,,,,,,,,,
L_1,L_1,img264.jpg,,,,,,,,,,,,
L_1,L_1,img288.jpg,265.662101,718.0400276,234.8855722,717.0141433,228.0463436,696.4964574,211.2902334,725.9051405,,,,
L_1,L_1,img312.jpg,252.3256052,720.0917962,224.9686907,719.4078733,222.5749607,700.2580332,208.554542,730.0086777,,,,
L_1,L_1,img336.jpg,249.9318752,723.1694491,224.6267293,721.1176805,221.5490764,701.6258789,208.2125806,732.0604463,,,,
L_1,L_1,img360.jpg,305.3296271,733.7702535,269.4236768,744.0290964,254.0354124,728.2988706,245.4863766,758.0495151,245.4863766,740.9514435,242.0667623,722.1435648
L_1,L_1,img384.jpg,305.6715885,734.4541763,270.4495611,745.7389036,256.087181,728.9827934,246.8542223,759.0753994,246.1702995,741.9773278,240.3569551,723.853372
L_1,L_1,img408.jpg,295.4127456,736.8479064,258.1389496,753.9459779,242.4087237,737.8737906,235.5694951,769.3342423,236.5953794,749.8424407,,
L_1,L_1,img432.jpg,326.1892744,719.4078733,303.9617814,734.4541763,286.5217484,722.4855262,288.5735169,751.2102865,275.2370211,736.1639835,255.7452195,721.8016034
L_1,L_1,img456.jpg,333.028503,724.5372948,312.8527786,739.5835978,297.8064756,726.5890634,299.8582442,757.0236308,284.4699798,741.293405,260.874641,728.640832
L_1,L_1,img480.jpg,345.681076,723.853372,341.2355774,744.7130193,331.3186959,733.0863306,337.1320402,762.4950137,317.9822001,747.4487107,283.102134,729.3247549
L_1,L_1,img504.jpg,349.4426517,726.247102,344.9971531,745.0549807,337.1320402,732.4024077,341.5775388,763.1789366,322.0857372,748.1326336,286.8637098,729.6667163
L_1,L_1,img528.jpg,,,,,338.1579245,701.6258789,355.5979575,725.9051405,330.9767344,719.4078733,294.7288227,723.5114105
L_1,L_1,img552.jpg,,,,,359.7014947,716.6721819,373.3799519,744.7130193,352.1783432,734.1122149,316.2723929,728.640832
L_1,L_1,img576.jpg,,,,,371.3281834,712.5686447,383.2968335,740.9514435,366.5407233,728.9827934,333.028503,723.853372
L_1,L_1,img600.jpg,,,,,392.8717535,735.1380992,394.2395993,763.8628594,383.9807563,749.8424407,356.2818804,734.4541763
L_1,L_1,img624.jpg,,,,,402.4466736,728.9827934,405.1823651,759.7593223,393.8976378,747.1067493,368.2505305,737.1898678
L_1,L_1,img648.jpg,,,,,387.0584092,721.4596419,396.9752907,747.4487107,382.6129106,737.1898678,357.6497261,740.2675207
L_1,L_1,img672.jpg,,,,,373.7219134,726.5890634,386.0325249,754.6299008,371.6701448,744.3710578,343.287346,750.1844022
L_1,L_1,img696.jpg,354.5720732,725.5631791,345.3391146,737.8737906,335.4222331,724.5372948,337.4740016,753.9459779,319.0080843,739.5835978,290.6252855,727.6149477
L_1,L_1,img720.jpg,,,350.8104975,734.7961378,342.9453845,722.4855262,353.5461889,751.2102865,331.3186959,738.8996749,293.7029384,732.4024077
