scorer,,,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling
bodyparts,,,left_tuft,left_tuft,left_eye,left_eye,forehead,forehead,nose,nose,right_eye,right_eye,right_tuft,right_tuft
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,R_1_example,img000.jpg,415.14046402757106,951.5266968547788,393.9662004538527,970.9115860419857,379.94943442618,959.8771106584987,381.14235068385426,985.226581134077,367.7220427850187,971.8062732352414,352.21413143525314,952.7196131124531
labeled-data,R_1_example,img006.jpg,420.15692455785586,949.8895832730996,392.69361261388434,964.5129052172923,378.42695705857443,952.029581606396,377.713624280809,980.2062263281331,365.5869670587955,965.5829043839406,349.5369795590719,949.8895832730997
labeled-data,R_1_example,img012.jpg,433.71024733540025,948.4629177175686,413.02359678020093,959.8762421618165,398.7569412248911,948.8195841064513,399.47027400265654,974.856230494892,385.56028483622936,960.9462413284648,365.23030066991276,945.6095866065068
labeled-data,R_1_example,img018.jpg,447.26357011294465,954.8829127174581,430.8569162243383,968.7929018838852,418.7302590023249,957.3795774396373,419.4435917800904,986.2695549391399,403.7502706692495,970.2195674394162,382.3502873362846,952.029581606396
labeled-data,R_1_example,img024.jpg,446.906903724062,952.3862479952788,431.2135826132211,967.3662363283543,418.37359261344216,955.9529118841064,420.8702573356214,984.4862229947261,404.463603447015,969.8629010505334,381.63695455851916,952.3862479952788
labeled-data,R_1_example,img030.jpg,453.6835651128341,952.7429143841616,440.4869087241725,968.4362354950025,429.78691705769006,957.3795774396373,432.28358177986934,984.4862229947261,414.0935959468492,969.8629010505334,390.55361428058785,952.3862479952788
labeled-data,R_1_example,img036.jpg,496.8401981676465,972.3595657727126,485.4268737233986,986.2695549391397,474.0135492791507,974.499564106009,479.3635451123919,1003.3895416055116,459.0335609460753,989.1228860502016,431.213582613221,974.1428977171263
labeled-data,R_1_example,img048.jpg,684.4467187199716,1016.942864383056,674.103393442372,1032.6361854938968,660.9067370537103,1021.5795274385316,671.6067287201928,1054.0361688268617,646.2834151095177,1040.1261796604344,613.1134409434222,1025.8595241051246
labeled-data,R_1_example,img054.jpg,758.6333276075832,1060.812830215634,743.296672885625,1077.5761504931231,726.5333526081358,1065.4494932711098,738.3033434412665,1100.402799381619,710.4833651084123,1084.7094782707782,672.3200614979582,1069.37282354882
labeled-data,R_1_example,img060.jpg,785.739973162672,1106.1094616037428,770.4033184407139,1134.28610632548,751.1433334410456,1118.2361188257564,761.4866587186452,1161.7494182694516,732.5966812191426,1140.7061013253694,688.3700489976819,1119.3061179924046
labeled-data,R_1_example,img066.jpg,771.8299839962448,1049.399505771386,736.5200114968527,1079.002816048654,714.0500289972397,1062.5961621600477,716.1900273305362,1105.3961288259775,697.6433751086333,1080.7861479930677,669.1100639980135,1048.6861729936206
