scorer,,,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling,labeling
bodyparts,,,left_tuft,left_tuft,left_eye,left_eye,forehead,forehead,nose,nose,right_eye,right_eye,right_tuft,right_tuft
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,R_2_example,img000.jpg,556.7849621884856,871.2770910343039,524.7680688960946,885.8590424347988,510.82011538257774,874.4470804691941,505.51320228880707,898.2220012308705,501.62714602139613,884.9080456043317,497.18916081254986,865.5711100515016
labeled-data,R_2_example,img006.jpg,556.1055922322704,868.7831341258354,521.6374370119026,880.2725191992914,508.9991134311011,866.4852571111443,505.5522979090643,890.6129657654018,499.23313611866354,877.9746421846002,492.33950507458997,867.059726364817
labeled-data,R_2_example,img012.jpg,573.5062914346998,866.4852571111443,545.1906764124873,879.1235806919458,531.977883578013,865.9107878574715,528.5310680559762,892.3363735264201,520.488498504557,877.4001729309274,508.9991134311011,861.3150338280891
labeled-data,R_2_example,img018.jpg,582.6557210401988,870.3307369040709,556.8046046249231,889.2882222752731,543.1988850244087,878.5399280477357,540.7194655220846,903.649953617093,531.52795746332,888.7137530216004,520.038572389864,869.1817983967253
labeled-data,R_2_example,img024.jpg,581.1262547236043,869.6368360480071,556.9338790018268,885.8910884860765,542.5696559170214,874.1729064958405,541.4356383050631,900.6333174415347,530.8514739267854,885.8910884860765,520.2673095485077,864.3447538588683
labeled-data,R_2_example,img030.jpg,588.6863721366599,872.6608830132294,572.8101255692434,899.1212939589236,559.957925967049,890.049153063257,559.957925967049,917.6435816209096,547.4837322355074,900.6333174415347,530.8514739267854,872.6608830132294
labeled-data,R_2_example,img036.jpg,614.7687772117013,897.2312646056597,591.710419101882,908.1934348545901,575.8341725344656,896.4752528643542,575.4561666638127,923.6916755513539,563.3599788029239,908.9494465958958,548.6177498474658,888.5371295806459
labeled-data,R_2_example,img042.jpg,691.8819748248673,922.9356638100484,685.0778691531174,942.2139632133399,671.8476636802703,929.7397694817982,679.4077810933258,960.7362508753258,655.9714171128537,945.6160160492147,625.7309474606318,923.3136696807011
labeled-data,R_2_example,img048.jpg,736.4866675618947,955.8221745568397,710.0262566162005,975.8564857014368,691.8819748248674,963.0042860992423,693.0159924368256,995.1347851047283,674.8717106454925,978.880532666659,654.0813877595899,957.7122039101035
labeled-data,R_2_example,img054.jpg,741.7787497510335,1007.2309729656171,708.5142331335894,1033.6913839113113,687.7239102476868,1017.0591256025891,685.8338808944229,1055.6157244091721,669.2016225857009,1035.2034073939224,648.4112996997983,1009.4990081895336
labeled-data,R_2_example,img060.jpg,706.2461979096727,1025.3752547569502,673.737693033534,1059.0177772450472,650.6793349237148,1041.6295071950194,648.0332938291454,1083.5881588374775,630.6450237791178,1057.8837596330889,607.5866656692986,1028.3993017221724
